params,norm
64_256_256,22.1981389759036,
1_256_256,1.0860026265060243,
1_128_128,0.7561908795180723,
1024_512_512,1304.3774407865167,
1_1024_1024,6.288555277108433,
64_1024_1024,328.0701860361445,
64_2048_2048,1303.6640608735634,
256_2048_2048,5205.858322043478,
16_128_128,2.259386819277108,
1024_256_256,328.26872527710844,
4_2048_2048,84.16190516867468,
16_2048_2048,328.13766361445784,
4_256_256,2.2438500963855414,
64_128_128,6.494279313253013,
256_512_512,328.64312391566267,
1024_128_128,85.10433409638556,
4_1024_1024,22.043256265060233,
256_256_256,84.28726337349399,
1024_1024_1024,5205.79639031868,
4_128_128,1.1579001686746986,
1_512_512,2.2120030240963864,
256_1024_1024,1303.6596078314612,
16_1024_1024,84.1330539759036,
16_256_256,6.452794807228915,
4_512_512,6.27825201204819,
1_2048_2048,22.0978603253012,
64_512_512,84.7262596746988,
16_512_512,22.38982577108434,
256_128_128,22.502813072289158,
